ObjectID,GlobalID,What type of litter bin?,What is it's condition?,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
39,543ceab1-28c2-455b-96a1-c2d3b23b6560,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7118046750181,38.2334453473224
40,5a4f6e20-66e7-49e4-9f65-9270d115ce9d,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7119221893006,38.2334831497057
41,be1bd31e-b65a-4435-86c7-ea36c402f674,wire,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.71221916013,38.2336230017601
42,23285fd1-4f82-4d44-8d58-91699137bc13,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7141853031569,38.2344626170008
43,3f06ea2c-31bc-4934-8a66-422913363122,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7148161251896,38.2350273896365
44,7c49a085-96cd-44c3-bbd8-aeb02fd81379,iron,not_useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7152978331649,38.2353381906061
45,4e8814a4-83d4-402d-ae9d-61e44a992c51,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7155716699415,38.2354419166578
46,461a2696-2a65-4991-9056-4043184f5c78,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7171467971855,38.2363746967523
47,1674c66e-6f82-4597-a1d3-171df92c6110,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7197119948321,38.2377750613151
48,965c5835-fa99-47e3-b8b5-88cd23cb1836,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7207981218451,38.2384099904804
49,f23af39b-ecb9-4d43-8a92-2c2338785bcb,iron,useable,6aaae81e-912a-4850-a11a-c29268b9f1bb,6/11/2017 6:33:23 PM,,6/11/2017 6:33:23 PM,,-85.7208862156474,38.2384440210073
